,text,type
9011,Все,0
12337,Всё,0
3582,БЫСТРОТА,3
6373,Нет Эпидодов ,1
11208,"Улучшить нужно плеер.
1. Регулировка скорости воспроизведения. Скорость 1.0 - долго, 1.25 - неразборчиво, 1.1 1.15 оптимально в большинстве случаев. 
2.  Мобильный интернет у большинства людей у всех операторов ограничен, а стримы в качестве 360 расходуют его очень быстро, поэтому качество 144 необходимо, а ещё лучше как в ""телеграмме"" отключение видео - ""только звук"". 
3.  Глюки плеера. К примеру перемотка онлайн стрима назад приводит или в случайное место или в онлайн режим или ""видео недоступно""",1
8388,Быстрый поиск,3
12796,Качество хорошее,3
3698,"быстро без заморочек
",3
12534,Всё,0
336,Почему по региону Беларусь убрали Россия1 и Россия 24?,2
9551,Что его нет в приложении,1
5885,Неудобное п,1
13034,Долго проходит модерацию,1
15235,4 балла,0
9541,"С телевизора постоянно вылетает учетная запись. При повторном входе пишет неверный код, хотя он один в один. Прям выводит из себя уже. На двух телевизорах одна и та же история",1
8922,Отлично!,3
3673,Всё хорошо,3
1145,Упростить,1
4194,"простота, скорость",3
10238,Качество,0
6927,ВСЁ ,0
15313,класс,3
3347,Ещё мало пользовалась ,2
4021,Просто и быстро ,3
9759,Доволен,3
15030,не подходит под мои интересы,1
16414,отлично!,3
13986,очень занудно,1
12273,Хорошо грузит и нет рекламы.,3
9296,Видео еле - еле грузятся. Отвратительно !!,1
10818,уменьшить или улучшить качество рекламы,1
1447,зачем два раза код с картинки?,2
7140,поиск (((,0
291,Запутанно,1
10696,идите нахуй,1
2924,Всё понравилось!,3
391,параметры входа,2
8729,Очень хорошо 👌 ,3
12659,"все

",0
11606,Класс,3
352,"Не понятно зарегистрировался я или нет
",2
8169,Не заставляйте нас писать поисковую систему самим,1
5225,"Избавится от рекламы, задолбала, смотрит ребёнок мультик и постоянно херни полно рекламируемой ",1
14860,Офигенно просто качество Вау,3
16210,скорость модерации,2
7360,"не понятно как искать шоу Аватар. выходит  только 1 сезон , если не уточнять что нужен 2 сезон ",2
12435,Качество ,0
16620,Пока затрудняюсь ответить.,2
1440,Я ещё не понял сколько будет стоить это удовольствие?,2
16053,Скорость,0
14352,все,0
3119,Быстрая регистрация только по электронной почте,3
3091,Замечательный контент! ,3
5726,Мне нужен сам мультфильм,1
1770,Легко и просто,3
8157,Часто зависает,1
5779,"Поиск по подпискам, плейлисты и кучу всего",2
4176,"просто, доступно ",3
3096,Всё ,0
4749,все,0
3180,Быстро,3
11672,Программа ДНК ,0
6807,Всё нужно улучшить,1
6042,Не нашла по названию,1
9185,Конкретизировать статистику,1
10702,"Убрать рекламу во время просмотра. Переименовать, это же наше русское, зачем напоминание об американском ютюб?? Улучшить качество, очень сильно иногда логает",1
1825,Проще не бывает! ,3
4080,"Спасибо, всё понравилось ",3
10067,Символов в окне не хватит,1
10017,все!!!!,0
6978,"ерунда
",1
8612,да,0
612,Улучшит пожалуйста весь сайт Rutube.И все настройки,1
10682,убрать цензуру,1
13664,Всё!,0
12839,"Потому что своё, а название ресурса - отстой. Калька не нужна",1
8172,ИНТЕРЕС,0
4,зачем мне это?,2
3030,Отлично 👍 и быстро ,3
14271,качество видео,2
11642,"Можно посмотреть то, что пропустила, потому что работала",3
13325,Для меня это классика ,0
12268,Bravissimo!,0
8656,все,0
11136,поменьше рекламы и все будет хорошо,1
6225,Проблема найти голосование ,1
6910,каталог непонять,1
14827,все,0
8973,"Отлично
",3
2512,ОК,2
231,english version :-),0
14291,Всё,0
12170,Разное,0
8643,"стариков, мардан.
, естафьев и всё остальное в том же духе",0
2216,супер,3
6551,непонятная сортировка запроса,1
11775,"ПРОСТО ТАК !
",3
2606,Очень круто ,3
15240,Трудно войти и долго загружается.,1
6885,Не нашла то что я хотела,1
3667,ьузыкальные шоу,0
4600,класс,3
6905,на других сайтах видео выходят быстрее чем  у вас,1
3070,всё быстро,3
2416,Добрый ,0
4536,Все,0
5629,"Херня


",1
11385,что есть возможность посмотреть битву экстрасенсов.,2
7720,добавить экранную клавиатуру в поисковой строке,1
8733,Ссс,0
10361,Качество,0
6101,Не нашёл,0
9724,Все ок,2
5940,Н...,0
8624,качество,0
1604,"МАДОУ ""Детский сад N°29 ""Золушка"", г.Губкин",0
9217,всё!,0
4533,Все,0
6767,Рутюб отстой. Ничего интересного! Грузит всё по долгу! И тд….,1
14899,качество видео,2
9421,Не удаётся войти в акк на телевизоре ,1
12669,абзац,0
754,Ничего не видно,1
15529,Не знаю ,2
2732,Просто,3
5789,"где брат и брат 2
",2
593,Хорошо и без проблем,3
11011,"Тормозит, нужно перезагружать страницы.",1
7751,"Видео кадр  оставить неподвижным, и в то время иметь возможность листать правую полосу поиска.",1
13850,Фуыло,1
12231,"Мне нравится, что он (Ру-тюб) - наш Российский. Старались. Долго создавали и получилось Отлично !!! Молодцы ! :-))",3
8409,как для ютубира на ютуб прекрасно я буду теперь и здесь снимать,3
8044,Всё нормально ,2
15377,"Искала рецепты,не нашла.",1
3854,быстрая ре истраия,3
10776,Побольше годного контента,1
2010,Всем выступающим огромное спасибо! ,0
3849,быстро,3
14576,клюваааа,3
9798,Легкость упаковки,3
6055,"написать что фильма нет целиком
",1
13129,Прост в обращении,3
11113,всё,0
15470,"Вообще всё!!! Поисковик ничего не ищет, одни новости. Крайне мало блоггеров!!!",1
4315,Классно и просто мне нравится,3
9913,"Отсутствие коротких видео на подобии shorts ютуба, мало информации в статистике, очень медленная скорость загрузки роликов",1
6290,Не нашёл искомое,1
11735,Сводки с фронта,2
13260,"простота, доступность, не перегружен ненужным контентом, есть монетизация",3
13985,Фу,1
9998,плохая аналитика событий,1
1582,Всё устроило,2
4338,Здорово что есть возможность смотреть любимые программы. Спасибо!,3
14465,Всё ❤,3
11758,"Качество вещания 
",2
1816,jarkov.leonid@gmail.com ,0
4137,🙏,0
9372,"Зашел на канал, чтобы проверить не заброшен он и решить отписываться или нет, но нажав на ""назад"" вернулся в самое начало списка
",2
4250,Все хорошо.,3
8204,Нету топовых блогеров ,1
2998,"Всегда вас смотрю, чаще битва экстрасенсов)",3
12385,Все,0
15247,ничего,2
10431,Увеличениеэкрана,1
10879,0,0
4667,Класс,3
14503,всё,0
780,Норм,2
8351,Мне нравится ,3
15002,Неинтересно,1
12794,звезды в африке,0
856,Сделать проще,1
4900,Все,0
10317,Все,0
3931,простота,3
9713,добавить возможность удаления аккаунта,1
4691,ок,2
4948,Быстро. ,3
9366,"Все время пишет код не верный. Обновляю на тв, все равно не принимает",1
15044,"Cтолько шоу. Я почти не смотрю их, лишь музыкальные. Я люблю о путешествиях.
А новых дорам вообще нет. А такая частая реклама, одно и тоже с вконтакте, на котором я уже давно.",1
6160,Все,0
1309,Не спрашивать геолокацию,1
2733,Дажэ не верится,0
3654,Ok,2
15531,!),0
9093,Сц,0
16487,Скорость загрузки очень хорошая,3
4201,Быстро ,3
1905,Оформление предложения😊,2
13747,неинтересно,1
5887, Я нинего не могу найти ,1
4886,Скорость,0
10207,"Реклама, вы серьезно. ))) ",1
4158,Скорость,0
8975,Ii,0
7178,всё,0
9543,Новно,0
8018,Добавить голосовой поиск,1
10858,"я уже писал еще год назад, потом повторно где то с полгода назад, вы не обращаете внимания. Добавьте в прямой эфир (Live трансляцию) расширение в 480 качество видео. в 360 качество проседает, а в 720 начинается буферизация (слабый инет). Что сложного, но вы игнорите.",1
10493,"Сделать более удобный видеоплеер, и оптимизировать приложение в принципе  ",1
3569,Быстро,3
12924,Нет возможности удаления и редактирования комментариев. Это огромный минус.,1
1481,всё нормально,2
5155,Всё замечательно,3
2287,"коротко, логично.",3
8801,Отлично! Удобно!,3
9409,"в руки вам насрать за такое. как я могу подтвердить несуществующую почту, которую вы сами сгенерировали из моего телефона? да еще ее и поменять на свою почту нельзя. да еще и на запрос поддержки вы не отвечаете. ",1
5828,"где фильм он вышел 6 месяцев назад
",2
7898,Все,0
11047,Добавить темы для оформления,1
8840,"окей




",2
2031,"быстро и понятно
",3
1204, Быстро 👍,3
11911,. ,0
11441,"всё
",0
8453,Качестве ,0
15882,Вкладку монетизация по дням сделать.,1
7180,Не смог найти нужное видео,1
1052,👍,3
13087,"Классная замена западной платформе!
Хотелось бы конечно, чтобы образовательный контент продвигался более активно.",3
12460,Видео,0
7874,"располагать поиск по времени или дать пользователю возможности для сортировки по одному из критериев: время, популярность и тд",1
16441,Время обработки видео ,2
2312,Оперативность,0
16016,очень долго загружается ролик,1
9395,"Сделайте чтоб как на ютубе, а то это ж пиздец",1
12438,авто,0
6873,всё,0
247,"Гавно полное
",1
8969,очень офигенно👽,3
15748,Показывать количество показов роликов,2
9670,Отказали в статусе официального канала!? А я владелец торговой марки Северон и владелец завода Северон и я лично снимал эти видео на мои Айфоны много лет подряд и они были выложены в канал Ютубе тоже как Северон группа Альп Эмаль где я Архипов Альберт Александрович единственный учередитель,1
9163,много чего.,0
6975,Говно ваш веб дизайн. В смартфоне глючит.,1
5074,убрать сбои при воспроизведении видео,1
4221,Быстро,3
11853,Все,0
94,зачем вам мои данные?,2
14605,всё супер!,3
5651,Виснет ужас,1
10345,Тормоза убрать,1
1572,Думаю,0
13768,"есть то, что не соответствует моим интересам",1
9405,Почему на телеке постоянно надо заходить? Надоело уже!!!,1
4106," bystro
",0
11944,"Напишу, что не понравилось. У вас нет vpn для гостей. Смотрю с Харькова. А так замечательно.",1
12166,Возрастающее качество настроек просмотра.,2
6915,идёт не то что надо ,1
7805,Нечего,2
1981,Скорость.,0
1840,"nice
",0
9102,огого,0
3801,Liberdade.,0
6785,"не ищет
",1
11052,Сделат боле интернациональны...,1
7530,Херово,1
3433,Быстро и хорошо,3
2115,Шаговая процедура,2
14246,Все,0
9246,Всё хорошо,3
1760,Nice 👍,0
11371,маленькое количество рекламы,3
10819,не грузит,1
1344,харашо,3
15459,"""Выбрасывает"" из профиля регулярно. Особенно на SmartTV",1
2243,Возможность всё бесплатно смотреть,2
14496,Про Алену Кравец,0
664,Скорее ,1
1237,😀,3
3494,все,0
12652,Хорошая программа,3
2539,Интересно,3
16179,публиковать сразу,1
3617,Nc,0
6938,Фильтры в поиске,2
3570,Скорость,0
5711,Нет фильмов,1
7124,Ничего не грузит,1
8864,Огонь ,3
6571,Не вылазит полностью фильм,1
16600,Возможность создавать плейлисты ☺,2
16526,"Сделайте,пжлст, возможность ссылке в конце видео на другое своё видео",1
16330,Скорость,0
7447,Нету ,0
8777,Achtung . vive la Russie et les citoyens qui defend les hommes est les femmes qui sont gentil avec tout le monde . peace ,0
2064,Быстро,3
15017,уже просмотрено.не мой тип контента предлагается.,1
2250,Скорость,0
9922,Функции дополнительной обработки.,2
14184,все,0
13287,простота,3
2784,скорость,0
10930,Качество,0
2295,Быстрая регестрация,3
11627,Нечего,2
1915,Ok,2
9645,"Приходиться каждый раз заходить в профиль,постоянно вылетает(",1
15169,моросящий сайт,1
8333,качество,0
10299,Чтобы не зависит видео ,1
6377,Всё зависает,1
10452,Качество воспроизводства.Пока ещё буксует видео и очень мелкий шрифт.,1
3912,очень просто,3
15363,херь,1
7397,"комментарии для smart tv сделать доступными + перемотку 
и навигацию по видео сделать плавными и удобными",1
13500,Тема,0
6462,Все,0
10223,ЧТО БЫ ПОСМОТРЕТЬ 1 ВИДИО НУЖНО ЕГО ПЕРЕЗАГРУЗИТЬ РАЗ 10( УЖАС ВИДИО ИДЕТ ИДЕТ ПОТОМ ХОБ И ВСЕ ЗАГЛОХО И ТАК ДАЛЕЕ(((,1
6467,все,0
5542,Читайте запрос!,0
13493,Норм ,2
12333,"Интересный канал 
",3
10464,Убрать рекламу,1
5916,"нет фильмов звягенцева попса одна
",1
8138,Для меня сложно: 72 года,1
14512,весь контент,2
4736,Быстро и удобно!,3
13668,Клас,3
3706,Никаких сложностей,3
2452,Класс,3
14205,воскресение,0
1565,Чтобы можно было сразу придумать ник,2
14332,"правовая оценка действий украинской беженки в США, избившей ребенка",0
16334,быстрая модерация,3
3279,Молодец!!! ,3
11000,"дико долго погружается видео даже на скорости 20мб
 ",1
3627,Только зашли ещё не знаем,2
8949,Качество поиска и быстрота,3
15226,Не могу найти в аккаунте возможность подключения тв смарт.,1
12389,Стабильность трансляции канала «Соловьёв Лайв».,2
1577,Всё хорошо,3
11704,Абсолютно всё ,0
4862,Оперативность,0
14278,Рутюб молодец. Работает чётко и слажено. Всё понятно и не надо искать не зная чего.,3
11757,Не засилие рекламы,3
1925,Скорость ,0
15836,"Я не понимаю, кто и откуда, по какой причине пришел на видео",1
4611,Простота!!!,3
15601,Фильмы и сериалы,2
10570,Ничего,2
8377,супер,3
16609,всё понятно ,3
11515,все,0
8226,Круто мне всё нравится,3
6195,нет фильма,1
14855,сюжет,0
1738,Простота и быстрота,3
1614,)) ,0
5990,Добуквенный ответ в выдаче в приоритете,2
13548,Качество и скорость,2
3987,"все бстро
",3
15400,c,0
5313,Нет звука,1
651,Все отлично бистро и легко,3
7853,"Система не отлажена. Задаешь вопрос, а он показывает всё, что угодно, только не то,что нужно",1
6134,большая опера 7,0
2957,"Просто и понятно
",3
15938,всё,0
11676,ru,0
14990,нтв,0
16061,https://rutube.ru/video/4c3f2ae69b0ce88205363679423e0a0b/,0
9168,Обложка не может быть больше 1 МБТ. Что за бред? Постоянно приходится переделывать ,1
239,"Вынужденная регистрация, блокирует сайты, ничего не посмотреть",1
6146,Нет того что искала ,1
16512,Не справедливая модерация,1
12934,увеличить показы видео каналов на которых мало подписчиков,1
11197,пока все ок,2
12133,"Без рекламы,темный фон.Очень надеюсь,что не будет никаких обновлений с интерфейсом,всё отлично",3
14948,все,0
508,Отлично,3
3189,Kruto,0
943,———,0
4625,Супер,3
4273,Отлично,3
5945,"Где.?21:00;06.11.2023 ВРЕМЯ ,1 КАНАЛ",2
8045,"не работает приложение
",1
8460,👍,3
8361,круто,3
4072,без всякого гемароя,3
16536,"Все нужно улучшить.
",1
14564,Всё хорошо ,3
14649,Стримы Анны Сочиной))),0
16258,скорость загрузки и обрабортку,2
9203,супер,3
5447,Не делать липовую рекламу этому ролику ,1
6690,нармально искать ВИДЕО,1
6645,Всё,0
12821,рок,0
16028,Самая медленная загрузка из всех площадок.,2
5064,"качество ... нужно улучшить ....
",1
4970,Быстро,3
9832,),0
11579,битва сильнейших ,0
10113,ان يكون هنالك ميزة تنزيل الفيديوهات بدون انترنت ,0
5484,"Запрос ""вернувшиеся 5 сезон"", показано только одно видео подходящее под поиск, все остальные смесь разных сезонов и совсем не соответствующие поиску видео, даже слов одинаковых в названии нет",1
884,Нормик ,2
6060,"
Релевантность и более новые видео должны быть наверху",1
7665,"фильмы удаляют на ютубе и у вас тоже не показывают
",1
10408,Все,0
7716,по дате поиск не выдаёт,1
12408,наш!,3
14723,Всё.,0
9982,"Видео мало ютуб лучше, это там можно найти свою видео и там качестве неё а тут нет тех видео которые я хочу например Йоши нету. Только какой то динозавр и фан канал, 
а мне нужен настоящий и там хрень. ",1
14767,всё супер!!!!,3
8718,Я НЕ НАИВНЫЙ ДОВЕРЧИВЫЙ ЧЕЛОВЕК И НЕ ЛОХ И НЕ ПРЕТСКАЗУЕМ У МЕНЯ ШЕСТОЕ ЧУВСТВО МОЕГО ВЫСШЕГО РАЗУМА МНОЮ УПРАВЛЯЕТ БОГ И Я ЗНАЮ БУДУЩЕЕ И МЕРУ ВРЕМЕНИ ДА ИНЕ РАБ БОЖИЙ.,0
6703,Поиск улутчте ,1
550,ok,2
13474,КРАТКОСТЬ,0
14412,Абрамов,0
4638,регистрация через вк,2
7902,сделайте все похожим на ютуб пожалуйста,1
11962,Интересные выпуски,3
8402,А4 и Глент всё ваша команда нравидца я вас довно смотрю,0
10197,Всё.,0
4556,Авторизация через вк ,2
5537,May Russia burn! Ukraine will win!,0
14134,language,0
13866,удалитесь,1
5094,"Всё ок. Гораздо лучше, чем когда-то. Если бы можно было перенести на рутуб весь контент с ютуба, то последний мне станет не нужен",2
682,я слаб в инете,2
16208,Обработку видео,2
1179,Всё хорошо.,3
7147,Не возможно ничего найти) ключевые слова как очень тупо работают,1
6744,худшее что я видела,1
14057,"гнтмасн
",0
4671,бомба,3
16535,добавить информацию о статусе видео,1
9061,Реклама без звука.,1
15382,"Не работает подключение к телевизору
",1
1782,простота,3
3089,Качество,0
668,ничего не надо,2
2642,СКОРОСТЬ И ПРОСТОТА,3
11292,.,0
1191,Без регистрации ,2
11635,"Сделайте ключ трансляции постоянный или на неделю,ну на три дня,пажалуйста",1
5132,Загрузку видео,2
4826,Speed,0
16517,мало просмотров .долго грузит иногда. проблемы с загрузкой .,1
9935,"У нас общий радиоэфир, поэтому скажу о себе, я не хочу висеть в состоянии тревожной неопределённости, опять о себе, к себе применяю, буду делать всё от меня зависящее, чтобы те, в ком я,негрузились моими проблемами ",0
14747,Отлично,3
3407,Janel,0
11451,"Берет ощутимо меньше ресурсов, чем ютуб и через это быстрее паботает на стареньких пк",3
9960,всё,0
8993,Поиск,0
12182,Доступность,0
6613,все,0
10736,Иногда вылетает,1
3967,Моментальность),3
15124, Отсутствует возможность  прокрутки передач в прямом эфире. Остальное отлично!,2
174,нет звука,1
6033,Не то ,1
6218,"предлагает не то, что я ищу",1
4118,Все легко и понятно,3
13582,дрим топ,0
14378,все,0
6260,Нет полных серий!!!,1
6236,"Почему нет подходящего видео!?! 

",1
5608,один обман .видео по любому запросу отсутствует.,1
1057,Полёт нормальный,2
4590,Мне всё понравилось! всё хорошо и отлично! Просто супер всё! Просто класс всё!,3
4972,быстрота,3
15706,"Сделать видимым порядок очередности выхода видео при отложенных публикациях. Должна быть привязка к календарю и годам, что за чем выходит. ",1
6768,"все
",0
15474,сбрасывает настройки входа,1
16417,БЫСТРО СОЗДАЁТСЯ КАНАЛ.,3
5039,"Часто звук идёт, а картинка зависла",1
2391,Быстро,3
11487,"Не зависает, нет рекламы ",3
13286,Доступность,0
7181,Поиск,0
5406,Уберите рекламу,1
9496,Очень неудобное приложение. Интуитивно не понятно,2
2195,скорость,0
3823,быстрота,3
9875,Простота.,3
12950,"не знаю
",2
8879,Если в поиске нет того что нужно делайте ссылки на youtube которые пока не удалены с американской платформы,1
16333,скорость,0
15469,Каша какая-то. Вообще не понял где подписки...,1
3705,"Простота в использовании, без лишних жестов, криков )",3
15379,нет полосы просмотра как в мобильном приложении поправьте....,1
7465,работу поиска,2
1540,.,0
14389,абзац,0
12586,Доступно и просто ,3
16582,"Супер, но мало платят за рекламу",3
4423,Благодарю ,3
15079,Нечего смотреть,1
6477,поиск,0
12094,Это наше!,3
10083,убрать тормоза,1
1117,норм,2
2845,ВСЁ,0
11826,Школа тайцзицюань СТАВР.,0
3970,Отлично,3
3621,Быстро,3
16338,Быстро,3
14922,Да,0
6638,ничего не находится по заданным параметам ,1
10377,"на ютубе проще и скорость загрузки быстрее
",1
13952,Нет звука,1
14080,Качество звука.,2
5215,Убрать кучу рекламы,1
5902,все,0
9809,все,0
13679,вова,0
12890,"стримы 1080,а не 720",2
1297,все хорошо,3
8783,Все хорошо ,3
10916,все,0
10446,все,0
1615,Всё хорошо,3
13136,Класс!,3
6561,все,0
1665,Скорость,0
3323,Спосибо очень удобно,3
15348,Нельзя изменить комментарий. Сделаешь описку или ошибку и исправить нет возможности.,1
12507,Понравилось всё ,3
16430,5,0
4333,Super!!!,0
7294,"Нет полных сериалов как и на Ютубе, тогда в чем разница?",1
2078,Быстро,3
15700,все,0
4956,2раз удалось ,0
2337,простота и скорость,3
594,Хорошо,3
13613,"то что это документальное видео, правда.",2
11077,"Если слушать в фоновом режиме, возникают рекламные паузы, может их убрать совсем, для тех кто слушает, а не смотрит?",1
8630,понравился заставка сайта. всё наглядно и удобно. мне 62 года. привет из удмуртии.,3
13181,Легкость в использовании,3
10331,Висит постоянно и реклама бесит,1
2890,Быстрота,3
11593,Ру,0
2799,быстро,3
9926,Добавить возможность публикации файлов MPEG-TS Video File (.m2ts),1
9790,Простота и удобство,3
13388,Голос,0
11063,7,0
1714,Всё отлично,3
8542,"просто супер!!!!!!!!""!""!""",3
12302,"очень интересная информация
",3
6302,"Не нашли нужный канал блогера
Ищите каналы блогиров",1
964,Ничего,2
186,Рутуб не работает,1
2218,Быстрота,3
16445,простота,3
14891,Всё,0
2014,дизайн,0
11893,Все ок,2
9944,"В целом все круто. Жду поддержки соотношений сторон, отличных от 16:9",3
7526,"хрень полнейшая
",1
6306,"не могу скачать приложение на ТВ


",1
1608,Регистрацию упростить,1
15291,возможность смотреть ранее не досмотренные видео,2
12064,Не так много реклам,3
12637,картинка,0
4405,lдоступные обьясненияj,3
485,долго не приходил код подтверждения на почту,1
5284,Это трейлер ,0
5744,ни как,1
14491,"Качество, ",0
6835,"поисковая выдача выдает 20 минут фитнеса, вместо образовательного курса)) ",1
7839,Подписи ,0
183,нет видео по запросу,1
9137,Как ее закрыть?,2
899,Покаместь не знаю,2
10691,Навигация,0
496,-,0
4200,Быстро,3
6818,все,0
9910,"Видео не рекомендуется от слова ""совсем"". Несколько просмотров в начале и всё СТОПОР полный!!!!! Напоминает трактор, который застревает в грязи и всё - намертво! Вопрос за столько довольно таки много лет, неужели нельзя было что-то придумать толковое. Хотя бы более или менее?",1
2774,Вау 😍,3
16283,модерация долго идет в сравнении с другими,1
12778,Отлично,3
6013,"Не загружает видео.
Уже целый час!",1
2726,"Доволен,все просто!",3
5246,"Показывать то что просишь, а не то что вы предлагаете",1
12564,Скорость ,0
12987,Привлечь аудиторию.,1
11909,"Все нравится, молодцы",3
15875,Аналитику могу просматривать только в браузере,1
9854,Класс,3
15016,все,0
8371,Krasno,0
7646,Только трейлер,1
7788,Многие вещи просто не ищутся и не загружаются.,1
9746,Оптимизируйте приложение на smart tv вылетает часто,1
5846,вылазиет все что угодно но только не то что ищу,1
11980,10абвгд,0
11567,Нет рекламы,3
3508,Норм,2
12887,Нет показов и просмотров.,1
14663,Да,0
11561,Все,0
4567,Всё отлично👍👏😆,3
16421,всё ок,2
10661,"видео часто зависает, не возможности трансляцию перемотать на начало ",1
13297,возможность самовыражаться и транслировать свои идеи,2
8478,отличное качество ,3
16259,Спасибо асе хорошо),3
1630,Хорошо ,3
5288,ЗВУК,0
7470,нужен мне способ создания плейлиста из видео роликов других авторов,1
7058,Не показывает ничего. Виснет ,1
2461,Скорость,0
5124,"В целом Рутюб надо сделать лучше чем аналог из США, а не догонять.",1
11881,Отсутствие рекламы ,3
9897,не работает отложенная публикация,1
6384,выдает не все ролики с темой поиска,1
7988,Ютюб работает быстрее,1
7822,"Чтобы видео можно было составлять в очередь. И в процессе добавлять видео.

",2
9170,оплату,0
16384,+,0
8262,еще не знаю,2
10174,"Видео замирает, надо перезагружать",1
2171,Топ,3
5984,Порядок очереди ,2
5275,"In time of all-out war on Russia, you as the only source of information have absolutely terrible platform and it looks like you do not even trying to improve AT ALL! How bloody embarrassing ... Have a look at your competitors, you could play and stream almost on anything. Allow your platform to be robust, simple, logical, translatable etc. Get your ability together FFS! Losers!!! If it was up to me I would fired half of you out, to come to sheet hall in where I am (Australia) you&#039;ll soon learn what it is to live here is like. Sergei yes Russian ... ",0
8560,Ахеренно,3
12113,Отличный канал мало рекламы,3
4367,"простота и возможность не создавать новые данные для регистрации, а использовать ВК",3
3800,❤️❤️❤️❤️❤️,3
8714,Быстрый поиск,3
9,Код быстро удаляют,1
11836,Все,0
14515,Классно ,3
7229,фильм,0
4379,Скорость,0
8515,Сервис,0
8134,"Я новый польователь, еще не определился!!",2
13784,Нет нормального названия,1
11499,Нравиться что шоу битва сильнейших выкладывают сюда,3
4193,Отличная программа,3
11972,Что русский,3
15221,Фигня,1
11866,не назойливая оеклама,3
4448,!!!,0
13012,Медленная загрузка,1
14007,"зачем мне детские видеокогда я смотрю аниме 16+
",2
7740,хронологическую последовательность,2
1137,Всё отлично. ,3
13324,Все,0
6335,"blbnt yf[eq
",0
12209,нормално,2
10537,Больше разного контента.,1
2741,простота ,3
9221,Скорость модерации,2
16180,"я не могу поставить на загрузку и уйти спокойно, обязательно надо дождаться, пока загрузится полностью, чтоб опубликовать. имея не самый быстрый интернет это становится проблемой",1
11067,систему поиска,2
7680,"ххммм
",0
10693,Контент,0
6432,интерфейс. сделать как на ютубе,1
10385,"Виснет, часто выдаёт ошибку ",1
1343,"Хорошо

Удовлотворительно",3
8555,пока все отлично,3
4474,все хорошо,3
12174,разбивка фильмов по жанрам  ,2
10155,все,0
15930,"не очень удобно отслеживать аналитику за месяц, хотелось бы, чтобы данные отображались к примеру с 1 числа прошлого месяца до 1 числа настоящего месяца, а потом начинался новый отсчет данных с первого числа.. не знаю, понятно написала или нет)))) с уважением, Мини Шу)",1
6668,Запрос нормально анализировать ,1
5800,"поиск
",0
4459,Спасибо ,3
6618,"очень много левых ссылок на популярные видео,очень много с подпиской от 30 до 100 подписчиков каналы,желающие на популярных видео набить себе просмотры,активнее баньте левых  непонятных нахлебников.
",1
13317,"не адаптивный,после завершения просмотра нет возможности переключать,в полоэкранном режиме нет ползунка",1
9304,вечно видео зависает и не воспроизводится ,1
16230,ещё быстрее,1
4121,Perfect,0
3255,Очень быстро и удобно!👍👍👍,3
1249,Скор=сть,0
7733,"Давать ответ на запрос, а не подвешивать дополнительные ненужные видео",1
10029,рое,0
2887,отлично,3
862,Всё супер,3
16489,"скорость загрузки 
",2
1968,быстро и хорошо!,3
6746,Всё,0
11041,Отображать отметки о просмотренных ролках и на сколько просмотрен недосмотренный ролик.  ,1
14583,ВСЕ - ОСОБЕННО СКОРОСТЬ - ВЫСШИЙ ПИЛОТАЖ - РАЗРАБОТЧИКИ ГЕНИИ,3
15755,ВСЕ ОК,2
14382,ПОЛИТИКА,0
14111,интерфейс,0
8378,Давайте Назовем - FANTAN.RU во сне приснилось-это -БомбаБ Белый шамаш знает что предлагать !,2
7025,ваш пенис,0
8046,😀,3
15074,Предлагаемый контент,2
6125,"Пишу битва экстрасенсов, а мне высвечивается битва сильнейших, и как мне найти по порядку серии сезона? ",1
985,?,0
1329,Простоту.,0
4005,Очень круто 😉,3
9967,главную страницу,2
15482,"очень долго грузит
",1
6032,"нет подборки за последние сутки
",1
10261,всё,0
3748,Скорость,0
16070,скорость,0
9580,Постоянно приходится подключать  устройства,1
9590,Переодически вылетает,1
3028,super web sit,0
14502,битва сильнейших,0
13075,Надеюсь на продвижение своих видео!,2
4263,Супер,3
5278,Зависает на рекламе,1
6365,FUCKING HOHOL BOT SAY WAR IN UKRAINE WHILE EVERYONE KNOW IT IS SPECIAL MILITARY OPERATION IN UKRAINE Z Z Z Z Z  Z Z Z Z Z Z FUCK HOHOLS EBAT AZOV  Z Z Z Z Z  Z Z Z Z Z Z Z Z ,0
6790,Отстойник!!!,1
4673,Чётко! Быстро! Удобно! Спасибо!,3
5574,"Нужны видео по этой теме)
А если серьёзно, жаль что Рутуб шакалит качество видео((",1
4835,"простота, скорость",3
11436,Това е моя свят и моите хора.,0
3411,Alles ok!,0
5036,Все хорошо ,3
7259,онлайн невозможно смотреть,1
8911,всё,0
8315,Разнообразие видео фильмы есть ,3
11083,"вылетает когда реклама начинается
",1
8919,super,0
14770,информация,0
9342,"Очень мало мирового контента 
",1
13563,"Красивая съёмка, ракурсы и виды, очень обзорно",3
8748,Фсе,0
10093,не грузит,1
2125, Спасибо! Почти мгновенно.,3
10698,"скорость работы, убрать лаги",1
5672,я ищу первый выпуск но выпадает любой выпуск кроме первого. ищу шоу воли,1
4397,Круто,3
15889,"Всё. Аналитика - ""ниачем""",1
8384,"быстрая загрузка
",3
3817,Скорость,0
7310,Что,0
14488,❤️❤️❤️,3
6584,ррагнуыфрашц3шегфщш,0
6016,Добавить все остальные сезоны битвы экстрасенсов,1
4039,Быстрая регистрация,3
9044,"всё
",0
1446,Все ок!,2
16004,класс,3
